ID,Suburb,WaterView,FloodingZone,LogDistance,LogLand,LogFloor,LogValue2022,,,Leg.Desc,Full Address,Lat,Long,Distance to Coast,Land Area,Floor Area,Value 2022,,,,,
1,New Brighton,0,0,6.822959627,7.138073034,4.605170186,12.98325276,,,Flat 1 DP 53974 on Lot 35 DP 801 having share in 1259 m2,55 1/ BOWHILL RD,-43.4974767,172.7167245,918.7,1259,100,"$435,065.89",,,,,
2,Waimairi Beach,0,0,5.983255949,6.646390515,5.010635294,13.38432587,,,Flat 1 DP 68959 on Lot 35 DP 65935 having share in 770 m2,7 ORLANDO CR,-43.4835242,172.7187097,396.73,770,150,"$649,738.90",,,,,
3,New Brighton,0,0,6.19495626,6.514712691,4.248495242,12.98513999,,,Flat 2 DP 42860 on Lot 1 DP 13279 having share in 675 m2,76 ESTUARY RD,-43.522632,172.7321884,490.27,675,70,"$435,887.73",,,,,
4,Waimairi Beach,0,0,5.956433047,6.646390515,5.010635294,13.52639198,,,Flat 2 DP 68959 on Lot 35 DP 65935 having share in 770 m2,7 2/ ORLANDO CR,-43.4835585,172.7188663,386.23,770,150,"$748,923.39",,,,,
5,New Brighton,0,0,7.08599351,6.632001777,5.375278408,13.23863656,,,LOT 1 DP 16881,69 PALMERS RD,-43.4990139,172.7139374,1195.11,759,216,"$561,651.35",,,,,
6,New Brighton,0,0,7.436829382,6.573680167,5.318119994,13.4134979,,,LOT 122 DP 18657,62 WATTLE DR,-43.497079,172.7069958,1697.36,716,204,"$668,972.28",,,,,
7,New Brighton,0,0,6.828441472,6.701960366,4.700480366,13.26631999,,,LOT 4 DP 6383,302 KEYES RD,-43.5042214,172.7190392,923.75,814,110,"$577,417.00",,,,,
8,North New Brighton,0,0,4.763796549,6.226536669,4.248495242,13.2068031,,,LOT 8 PTS 7 9 DP 3208,8 EFFINGHAM ST,-43.490454,172.7243145,117.19,506,70,"$544,053.63",,,,,
9,North New Brighton,0,0,5.172810831,6.226536669,5.293304825,13.51528734,,,Lot 1 DP 10698,5 JUTLAND ST,-43.4893805,172.7232972,176.41,506,199,"$740,652.88",,,,,
10,North New Brighton,0,0,5.505941106,6.230481448,4.605170186,13.36818446,,,Lot 1 DP 11187,30 TONKS ST,-43.4943555,172.724344,246.15,508,100,"$639,335.39",,,,,
11,New Brighton,0,0,5.77305975,6.357842267,4.290459441,13.42612742,,,Lot 1 DP 11297,76 PINE AV,-43.5219223,172.7337511,321.52,577,73,"$677,474.65",,,,,
12,South New Brighton,0,0,5.449406221,6.255750042,5.075173815,13.51440547,,,Lot 1 DP 11329,53 BEATTY ST,-43.527674,172.7348417,232.62,521,160,"$740,000.00",,,,,
13,South New Brighton,0,0,5.620980408,6.33150185,4.382026635,13.33872002,,,Lot 1 DP 11348,7 JELLICOE ST,-43.5315382,172.7392014,276.16,562,80,"$620,772.55",,,,,
14,New Brighton,0,0,5.706146345,6.226536669,4.382026635,12.83935383,,,Lot 1 DP 11437,13 MAFEKING ST,-43.5087348,172.7288609,300.71,506,80,"$376,756.30",,,,,
